city_id,City/Town,Region
226,Rampanalgas,Sangre Grande
227,Rancho Quemado,Siparia
228,Ravin Anglais,Sangre Grande
229,Redhead,Sangre Grande
230,Rio Claro,Rio Claro-Mayaro
231,Roussillac,Siparia
232,Roxborough,Tobago
233,St. Ann's,San Juan-Laventille
234,St. Augustine,Tunapuna-Piarco
235,St. Barb's,San Juan-Laventille
236,St. Clair,Port of Spain
237,St. Helena,Tunapuna-Piarco
238,St. James,Port of Spain
239,St. Joseph,Tunapuna-Piarco
240,St. Mary's,Couva-Tabaquite-Talparo
241,Saint Madeleine,Princes Town
242,San Fernando,San Fernando
243,San Francique,Penal-Debe
244,San Juan,San Juan-Laventille
245,San Raphael,Couva-Tabaquite-Talparo
246,Sans Souci,Sangre Grande
247,Sangre Chiquito,Sangre Grande
248,Sangre Grande,Sangre Grande
249,Santa Cruz,San Juan-Laventille
250,Santa Flora,Siparia
251,Santa Margarita,Tunapuna-Piarco
252,Santa Rosa,Arima
253,Savonetta,Couva-Tabaquite-Talparo
254,Scarborough,Tobago
255,Signal Hill,Tobago
256,Siparia,Siparia
257,South Oropouche,Siparia
258,Speyside,Tobago
259,Studley Park,Tobago
260,Spring Village,Tunapuna-Piarco
261,Syne Village,Siparia
262,Tabaquite,Couva-Tabaquite-Talparo
263,Tableland,Princes Town
264,Tacarigua,Tunapuna-Piarco
265,Talparo,Couva-Tabaquite-Talparo
266,Techier Village,Point Fortin
267,Thick Village,Siparia
268,Third Company,Princes Town
269,Toco,Sangre Grande
270,Tortuga,Couva-Tabaquite-Talparo
271,Trincity,Tunapuna-Piarco
272,Trou Macaque,San Juan-Laventille
273,Tunapuna,Tunapuna-Piarco
274,Union Village,Couva-Tabaquite-Talparo
275,Valencia,Sangre Grande
276,Valsayn,Tunapuna-Piarco
277,Vega de Oropouche,Sangre Grande
278,Vessigny,Siparia
279,Vistabella,San Fernando
280,Waterloo,Couva-Tabaquite-Talparo
281,Westmoorings,Diego Martin
282,Whiteland,Couva-Tabaquite-Talparo
283,Williamsville,Princes Town
284,Woodbrook,Port of Spain
